algorithm,constructionTime,executionTime,weightMST
Prim Nomal,2.819600,0.870500,588
Kruskal Normal,3.670000,9.001700,588
Prim Geometric,2.014100,2.089500,2685
Kruskal Geometric,2.836800,6.509400,2685
Prim Nomal,6.077100,0.764900,128510
Kruskal Normal,6.403300,0.056400,128510
Prim Geometric,7.264300,0.743800,95820
Kruskal Geometric,7.588600,0.058200,95820
Prim Nomal,5.819100,5.493500,126280
Kruskal Normal,6.140700,0.068700,126280
Prim Geometric,11.314800,0.848900,94800
Kruskal Geometric,11.687100,0.057400,94800
Prim Nomal,5.756900,0.732300,125932
Kruskal Normal,6.069700,0.057700,125932
Prim Geometric,7.943400,1.541300,94796
Kruskal Geometric,8.271500,0.075000,94796
Prim Nomal,6.047800,0.743900,126384
Kruskal Normal,6.372500,0.058600,126384
Prim Geometric,7.105200,0.736700,95127
Kruskal Geometric,7.437100,0.055900,95127
Prim Nomal,9.013800,0.736200,125999
Kruskal Normal,9.335900,0.058700,125999
Prim Geometric,6.690700,0.723100,95215
Kruskal Geometric,7.023700,0.055700,95215
Prim Nomal,7.168400,0.747100,128020
Kruskal Normal,7.488000,0.056700,128020
Prim Geometric,5.940700,0.747200,97851
Kruskal Geometric,6.242800,0.057200,97851
Prim Nomal,6.302800,0.743700,125067
Kruskal Normal,6.623100,0.058000,125067
Prim Geometric,6.108300,0.713800,93287
Kruskal Geometric,6.419900,0.056600,93287
Prim Nomal,8.839900,0.747200,128003
Kruskal Normal,9.176900,0.058300,128003
Prim Geometric,5.903700,0.733200,96929
Kruskal Geometric,6.220100,0.056600,96929
Prim Nomal,6.376300,0.729000,129960
Kruskal Normal,6.698400,0.064600,129960
Prim Geometric,8.129900,0.871400,93121
Kruskal Geometric,8.469300,0.057200,93121
Prim Nomal,5.890300,0.733700,127985
Kruskal Normal,6.208800,0.057000,127985
Prim Geometric,6.482000,0.795300,90716
Kruskal Geometric,6.812500,0.058300,90716
Prim Nomal,8.876500,6.624900,1933
Kruskal Normal,11.121300,4.806900,1933
Prim Geometric,9.567400,4.988300,7396
Kruskal Geometric,12.768500,5.156400,7396
Prim Nomal,8.782800,4.973100,2100
Kruskal Normal,10.975400,4.532500,2100
Prim Geometric,8.349200,6.450200,7751
Kruskal Geometric,16.236800,5.932100,7751
Prim Nomal,14.281800,6.712400,2025
Kruskal Normal,16.769600,5.502700,2025
Prim Geometric,10.418500,4.790400,7527
Kruskal Geometric,12.698900,4.281800,7527
Prim Nomal,8.995700,4.547000,2054
Kruskal Normal,11.190900,4.750800,2054
Prim Geometric,8.320300,5.610800,7489
Kruskal Geometric,10.959900,4.384700,7489
Prim Nomal,10.048500,4.124200,2042
Kruskal Normal,12.294700,4.483900,2042
Prim Geometric,8.738900,4.869500,7539
Kruskal Geometric,10.892300,5.641800,7539
Prim Nomal,9.480100,4.287800,2097
Kruskal Normal,12.226700,4.587500,2097
Prim Geometric,9.265800,4.874300,7503
Kruskal Geometric,11.595300,4.406800,7503
Prim Nomal,8.774600,4.444900,2018
Kruskal Normal,10.989200,5.004200,2018
Prim Geometric,8.449400,9.220600,7681
Kruskal Geometric,15.537900,6.176100,7681
Prim Nomal,8.660700,5.343100,2085
Kruskal Normal,11.395500,4.633300,2085
Prim Geometric,8.975500,4.768300,7444
Kruskal Geometric,11.466500,4.320000,7444
Prim Nomal,10.146300,4.162300,2062
Kruskal Normal,12.421700,4.926900,2062
Prim Geometric,8.526600,5.323100,7624
Kruskal Geometric,10.724900,4.402300,7624
Prim Nomal,9.948300,4.165700,2021
Kruskal Normal,12.215800,4.494300,2021
Prim Geometric,9.324600,5.449200,7477
Kruskal Geometric,11.625200,5.590300,7477
Prim Nomal,12.614200,6.706400,1330
Kruskal Normal,16.687900,9.771500,1330
Prim Geometric,11.939400,9.134000,5685
Kruskal Geometric,15.954200,9.264200,5685
Prim Nomal,12.853500,6.708800,1299
Kruskal Normal,16.841700,17.216400,1299
Prim Geometric,13.075400,9.894300,5416
Kruskal Geometric,17.416300,9.344000,5416
Prim Nomal,12.642900,6.796900,1328
Kruskal Normal,16.695200,9.997800,1328
Prim Geometric,11.321900,8.659100,5439
Kruskal Geometric,15.235800,8.926800,5439
Prim Nomal,13.809700,6.878000,1277
Kruskal Normal,17.737900,9.361000,1277
Prim Geometric,11.551700,10.337800,5652
Kruskal Geometric,15.551900,8.947400,5652
Prim Nomal,12.342700,7.592500,1332
Kruskal Normal,16.259500,9.082100,1332
Prim Geometric,11.745300,16.393800,5442
Kruskal Geometric,15.630200,9.892300,5442
Prim Nomal,13.230600,6.812700,1288
Kruskal Normal,17.169600,9.797400,1288
Prim Geometric,12.113200,8.737500,5533
Kruskal Geometric,16.225300,9.830800,5533
Prim Nomal,12.597200,10.278800,1317
Kruskal Normal,16.508300,9.530900,1317
Prim Geometric,11.962600,10.841500,5456
Kruskal Geometric,15.936900,9.516300,5456
Prim Nomal,12.046000,7.055300,1279
Kruskal Normal,16.714800,9.251400,1279
Prim Geometric,11.486100,8.606600,5364
Kruskal Geometric,15.980300,9.993700,5364
Prim Nomal,12.519000,7.070000,1316
Kruskal Normal,16.471800,15.716500,1316
Prim Geometric,13.971000,10.075100,5376
Kruskal Geometric,18.117700,10.259600,5376
Prim Nomal,12.717300,7.274100,1333
Kruskal Normal,17.564100,10.034100,1333
Prim Geometric,12.524500,8.503100,5498
Kruskal Geometric,16.948100,9.326200,5498
Prim Nomal,14.160300,7.510800,1111
Kruskal Normal,18.659400,13.790400,1111
Prim Geometric,12.020000,11.733200,4563
Kruskal Geometric,16.603800,13.986300,4563
Prim Nomal,14.153700,7.818300,1136
Kruskal Normal,18.709100,17.453100,1136
Prim Geometric,14.952100,9.569300,4470
Kruskal Geometric,19.449700,13.829600,4470
Prim Nomal,14.199000,7.681100,1137
Kruskal Normal,19.076300,14.367400,1137
Prim Geometric,12.920300,10.620000,4632
Kruskal Geometric,17.652800,13.459000,4632
Prim Nomal,13.565900,7.578600,1111
Kruskal Normal,20.343200,14.463300,1111
Prim Geometric,12.527100,9.888200,4531
Kruskal Geometric,16.981400,13.814400,4531
Prim Nomal,13.744600,7.494000,1098
Kruskal Normal,18.654700,18.125000,1098
Prim Geometric,16.085800,9.389200,4737
Kruskal Geometric,21.923600,14.026200,4737
Prim Nomal,13.509100,7.384200,1100
Kruskal Normal,18.257400,14.775600,1100
Prim Geometric,12.101600,10.061600,4551
Kruskal Geometric,16.602900,13.294600,4551
Prim Nomal,14.105800,7.526100,1130
Kruskal Normal,20.623500,14.224300,1130
Prim Geometric,12.730800,10.737000,4600
Kruskal Geometric,17.308400,13.216600,4600
Prim Nomal,14.296300,11.136700,1123
Kruskal Normal,22.838900,15.014900,1123
Prim Geometric,11.845900,10.884700,4527
Kruskal Geometric,18.040300,13.324600,4527
Prim Nomal,13.549700,8.273600,1131
Kruskal Normal,18.063800,14.172600,1131
Prim Geometric,11.721500,10.478800,4446
Kruskal Geometric,17.570000,14.025700,4446
Prim Nomal,13.675400,8.042300,1119
Kruskal Normal,18.199000,14.354400,1119
Prim Geometric,12.388700,10.167700,4653
Kruskal Geometric,17.451900,14.130200,4653
Prim Nomal,12.424800,9.225200,1051
Kruskal Normal,16.092800,24.070800,1051
Prim Geometric,11.406000,10.663900,4005
Kruskal Geometric,15.570200,17.774300,4005
Prim Nomal,12.634600,5.882900,1047
